   j      e(j)         levid         stwt


  1.4781E-16 2.6263E-16 5.5464E-16 1.1284E-15 1.9857E-15 2.9787E-15 3.8762E-15
  4.4809E-15 4.7052E-15 4.5677E-15 4.1725E-15 3.6291E-15 3.0299E-15 2.4568E-15
  1.9446E-15 1.5055E-15 1.1480E-15 8.6505E-16 6.4739E-16 4.8130E-16 3.5465E-16
  2.6129E-16 1.9210E-16 1.3344E-16 9.6961E-17 7.0367E-17 5.0415E-17 3.6454E-17
  2.6350E-17 1.9046E-17 1.3770E-17 9.9630E-18 7.2170E-18 5.2353E-18 3.8049E-18
  2.7727E-18 2.0268E-18 1.4873E-18 1.0965E-18 8.1290E-19 6.0657E-19 4.5600E-19
  3.4572E-19 2.6466E-19 2.0470E-19 1.6010E-19 1.2668E-19 1.0143E-19 8.2190E-20
 50010701.0500 -7.0011E-02  5.6298E-16  5.0095E-16  4.4556E-16  3.9610E-16
  3.5189E-16 3.1235E-16 2.7697E-16 2.4528E-16 2.1685E-16 1.9133E-16 1.6838E-16
  1.4771E-16 1.2907E-16 1.1223E-16 9.7009E-17 8.3238E-17 7.0795E-17 5.9584E-17
  4.9547E-17 4.0655E-17 3.2917E-17 2.6371E-17 2.1081E-17 1.7131E-17 1.4610E-17
  1.3599E-17 1.4159E-17 1.6313E-17 2.0039E-17 2.5269E-17 3.1951E-17 4.0898E-17
  5.9708E-17 1.2125E-16 3.0258E-16 6.9882E-16 1.3417E-15 2.1397E-15 2.9096E-15
  3.4725E-15 3.7310E-15 3.6835E-15 3.4022E-15 2.9795E-15 2.4989E-15 2.0282E-15
  1.6031E-15 1.2391E-15 9.4192E-16 7.0663E-16 5.2522E-16 3.8732E-16 2.8339E-16
  2.0670E-16 1.5027E-16 1.0624E-16 7.6553E-17 5.5064E-17 3.9337E-17 2.8202E-17
  2.0203E-17 1.4467E-17 1.0358E-17 7.4176E-18 5.3138E-18 3.8090E-18 2.7333E-18
  1.9639E-18 1.4135E-18 1.0197E-18 7.3756E-19 5.3532E-19 3.9013E-19 2.8573E-19
  2.1049E-19 1.5617E-19 1.1676E-19 8.8120E-20 6.7176E-20 5.1774E-20 4.0382E-20
 50010701.0600 -4.3730E-02  6.1651E-16  5.4861E-16  4.8800E-16  4.3385E-16
  3.8547E-16 3.4221E-16 3.0350E-16 2.6883E-16 2.3774E-16 2.0984E-16 1.8477E-16
  1.6220E-16 1.4186E-16 1.2350E-16 1.0692E-16 9.1940E-17 7.8417E-17 6.6242E-17
  5.5333E-17 4.5639E-17 3.7136E-17 2.9819E-17 2.3698E-17 1.8791E-17 1.5113E-17
  1.2666E-17 1.1432E-17 1.1368E-17 1.2401E-17 1.4430E-17 1.7386E-17 2.2112E-17
  3.7143E-17 1.0208E-16 3.1639E-16 8.1406E-16 1.6576E-15 2.7447E-15 3.8340E-15
  4.6703E-15 5.0982E-15 5.0978E-15 4.7540E-15 4.1932E-15 3.5368E-15 2.8802E-15
  2.2805E-15 1.7649E-15 1.3418E-15 1.0058E-15 7.4576E-16 5.4812E-16 3.9984E-16
  2.9024E-16 2.0980E-16 1.4989E-16 1.0755E-16 7.7002E-17 5.4940E-17 3.9207E-17
  2.7950E-17 1.9911E-17 1.4177E-17 1.0090E-17 7.1808E-18 5.1103E-18 3.6375E-18
  2.5901E-18 1.8452E-18 1.3156E-18 9.3893E-19 6.7096E-19 4.8027E-19 3.4448E-19
  2.4771E-19 1.7870E-19 1.2940E-19 9.4146E-20 6.8878E-20 5.0722E-20 3.7640E-20
 50010701.0700 -2.9898E-02  5.5985E-16  4.9815E-16  4.4305E-16  3.9383E-16
  3.4984E-16 3.1050E-16 2.7529E-16 2.4374E-16 2.1545E-16 1.9006E-16 1.6723E-16
  1.4668E-16 1.2816E-16 1.1146E-16 9.6381E-17 8.2776E-17 7.0516E-17 5.9501E-17
  4.9656E-17 4.0929E-17 3.3285E-17 2.6705E-17 2.1172E-17 1.6673E-17 1.3189E-17
  1.0689E-17 9.1269E-18 8.4398E-18 8.5467E-18 9.3532E-18 1.0772E-17 1.3000E-17
  1.8728E-17 4.1086E-17 1.1420E-16 2.8568E-16 5.7973E-16 9.6243E-16 1.3491E-15
  1.6482E-15 1.8032E-15 1.8057E-15 1.6858E-15 1.4882E-15 1.2560E-15 1.0236E-15
  8.1112E-16 6.2814E-16 4.7790E-16 3.5853E-16 2.6616E-16 1.9589E-16 1.4306E-16
  1.0402E-16 7.5336E-17 5.3652E-17 3.8549E-17 2.7641E-17 1.9729E-17 1.4100E-17
  1.0067E-17 7.1827E-18 5.1230E-18 3.6533E-18 2.6052E-18 1.8583E-18 1.3261E-18
  9.4696E-19 6.7686E-19 4.8442E-19 3.4725E-19 2.4943E-19 1.7963E-19 1.2976E-19
  9.4098E-20 6.8559E-20 5.0221E-20 3.7037E-20 2.7522E-20 2.0630E-20 1.5618E-20
 50010701.0800 -2.1728E-02  4.8211E-16  4.2890E-16  3.8139E-16  3.3893E-16
  3.0098E-16 2.6702E-16 2.3662E-16 2.0938E-16 1.8494E-16 1.6300E-16 1.4327E-16
  1.2551E-16 1.0950E-16 9.5066E-17 8.2047E-17 7.0314E-17 5.9761E-17 5.0304E-17
  4.1879E-17 3.4438E-17 2.7944E-17 2.2370E-17 1.7687E-17 1.3869E-17 1.0879E-17
  8.6747E-18 7.2018E-18 6.3954E-18 6.1809E-18 6.4774E-18 7.2134E-18 8.5577E-18
  1.2807E-17 3.1393E-17 9.4660E-17 2.4611E-16 5.0978E-16 8.5777E-16 1.2147E-15
  1.4965E-15 1.6487E-15 1.6609E-15 1.5583E-15 1.3812E-15 1.1695E-15 9.5544E-16
  7.5842E-16 5.8815E-16 4.4788E-16 3.3617E-16 2.4953E-16 1.8357E-16 1.3401E-16
  9.7333E-17 7.0394E-17 5.0293E-17 3.6098E-17 2.5854E-17 1.8449E-17 1.3169E-17
  9.3897E-18 6.6900E-18 4.7642E-18 3.3916E-18 2.4140E-18 1.7183E-18 1.2233E-18
  8.7127E-19 6.2088E-19 4.4280E-19 3.1613E-19 2.2600E-19 1.6185E-19 1.1616E-19
  8.3588E-20 6.0352E-20 4.3746E-20 3.1866E-20 2.3346E-20 1.7220E-20 1.2803E-20
 50010701.0900 -1.6502E-02  4.0934E-16  3.6410E-16  3.2369E-16  2.8758E-16
  2.5528E-16 2.2637E-16 2.0048E-16 1.7728E-16 1.5645E-16 1.3774E-16 1.2092E-16
  1.0577E-16 9.2116E-17 7.9812E-17 6.8725E-17 5.8749E-17 4.9795E-17 4.1796E-17
  3.4695E-17 2.8448E-17 2.3021E-17 1.8379E-17 1.4492E-17 1.1323E-17 8.8326E-18
  6.9734E-18 5.6917E-18 4.9272E-18 4.6148E-18 4.6871E-18 5.0845E-18 5.9074E-18
  8.6779E-18 2.1145E-17 6.4459E-17 1.7080E-16 3.6264E-16 6.2865E-16 9.2050E-16
  1.1742E-15 1.3387E-15 1.3925E-15 1.3445E-15 1.2219E-15 1.0570E-15 8.7906E-16
  7.0808E-16 5.5574E-16 4.2730E-16 3.2319E-16 2.4132E-16 1.7833E-16 1.3065E-16
  9.5127E-17 6.8912E-17 4.9422E-17 3.5507E-17 2.5444E-17 1.8172E-17 1.2971E-17
  9.2476E-18 6.5864E-18 4.6878E-18 3.3348E-18 2.3715E-18 1.6862E-18 1.1990E-18
  8.5265E-19 6.0655E-19 4.3168E-19 3.0744E-19 2.1916E-19 1.5641E-19 1.1179E-19
  8.0055E-20 5.7464E-20 4.1365E-20 2.9884E-20 2.1683E-20 1.5813E-20 1.1604E-20
 50010701.1000 -1.2958E-02  3.4725E-16  3.0882E-16  2.7448E-16  2.4378E-16
  2.1632E-16 1.9173E-16 1.6970E-16 1.4994E-16 1.3220E-16 1.1626E-16 1.0192E-16
  8.9005E-17 7.7373E-17 6.6895E-17 5.7465E-17 4.8993E-17 4.1409E-17 3.4654E-17
  2.8680E-17 2.3446E-17 1.8919E-17 1.5063E-17 1.1845E-17 9.2271E-18 7.1672E-18
  5.6197E-18 4.5342E-18 3.8571E-18 3.5326E-18 3.5052E-18 3.7514E-18 4.8868E-18
  1.3404E-17 6.1783E-17 2.3794E-16 6.7105E-16 1.4370E-15 2.4595E-15 3.5190E-15
  4.3645E-15 4.8305E-15 4.8821E-15 4.5900E-15 4.0734E-15 3.4523E-15 2.8206E-15
  2.2382E-15 1.7351E-15 1.3204E-15 9.9013E-16 7.3387E-16 5.3889E-16 3.9277E-16
  2.8462E-16 2.0530E-16 1.4733E-16 1.0554E-16 7.5433E-17 5.3797E-17 3.8320E-17
  2.7264E-17 1.9380E-17 1.3766E-17 9.7732E-18 6.9355E-18 4.9202E-18 3.4898E-18
  2.4749E-18 1.7550E-18 1.2445E-18 8.8264E-19 6.2606E-19 4.4418E-19 3.1525E-19
  2.2384E-19 1.5903E-19 1.1307E-19 8.0465E-20 5.7332E-20 4.0910E-20 2.9246E-20
 50010701.1100 -1.0444E-02  2.9590E-16  2.6310E-16  2.3378E-16  2.0756E-16
  1.8410E-16 1.6308E-16 1.4424E-16 1.2734E-16 1.1216E-16 9.8518E-17 8.6242E-17
  7.5190E-17 6.5239E-17 5.6282E-17 4.8232E-17 4.1014E-17 3.4568E-17 2.8845E-17
