   j      e(j)         levid         stwt


  2.51E+04(K)  3.16E+04(K)  3.98E+04(K)  5.01E+04(K)  6.31E+04(K)  7.94E+04(K)
  1.00E+05(K)  1.26E+05(K)  1.58E+05(K)  2.00E+05(K)  2.51E+05(K)  3.16E+05(K)
  3.98E+05(K)  5.01E+05(K)  6.31E+05(K)  7.94E+05(K)  1.00E+06(K)  1.26E+06(K)
  1.58E+06(K)  2.00E+06(K)  2.51E+06(K)  3.16E+06(K)  3.98E+06(K)  5.01E+06(K)
  6.31E+06(K)  7.94E+06(K)  1.00E+07(K)  1.26E+07(K)  1.58E+07(K)  2.00E+07(K)
  2.51E+07(K)  3.16E+07(K)  3.98E+07(K)  5.01E+07(K)  6.31E+07(K)  7.94E+07(K)
  1.00E+08(K)  1.26E+08(K)  1.58E+08(K)  2.00E+08(K)  2.51E+08(K)  3.16E+08(K)
  3.98E+08(K)  5.01E+08(K)  6.31E+08(K)  7.94E+08(K)  1.00E+09(K) 

 photoionization: opacity values
 10000603.0000 -6.3543E-01  4.1686E-13  3.7153E-13  3.3114E-13  2.9514E-13
  2.6305E-13 2.3446E-13 2.0898E-13 1.8627E-13 1.6603E-13 1.4799E-13 1.3191E-13
  1.1759E-13 1.0483E-13 9.3458E-14 8.3328E-14 7.4305E-14 6.6267E-14 5.9107E-14
  5.2730E-14 4.7051E-14 4.1992E-14 3.7485E-14 3.3467E-14 2.9883E-14 2.6680E-14
  2.3807E-14 2.1231E-14 1.8961E-14 1.7097E-14 1.5808E-14 1.5198E-14 1.5185E-14
  1.5506E-14 1.5843E-14 1.5955E-14 1.5737E-14 1.5201E-14 1.4419E-14 1.3479E-14
  1.2449E-14 1.1380E-14 1.0135E-14 9.0128E-15 7.9241E-15 6.7369E-15 5.7615E-15
  4.7731E-15 3.9159E-15 3.2321E-15 2.6005E-15 2.1113E-15 1.6733E-15 1.3421E-15
  1.0730E-15 6.8578E-16 5.3381E-16 4.1394E-16 3.0653E-16 2.3486E-16 1.7948E-16
  1.3690E-16 1.0428E-16 7.9385E-17 6.0437E-17 4.6056E-17 3.5148E-17 2.6884E-17
  2.0641E-17 1.5911E-17 1.2327E-17 9.6072E-18 7.5411E-18 5.9619E-18 4.7552E-18
  3.8236E-18 3.1029E-18 2.5413E-18 2.1003E-18 1.7511E-18 1.4719E-18 1.2472E-18
 10000501.0310 -1.5275E-01  7.5274E-15  6.7102E-15  5.9821E-15  5.3334E-15
  4.7554E-15 4.2406E-15 3.7821E-15 3.3737E-15 3.0101E-15 2.6864E-15 2.3984E-15
  2.1423E-15 1.9145E-15 1.7122E-15 1.5325E-15 1.3732E-15 1.2322E-15 1.1075E-15
  9.9744E-16 9.0066E-16 8.1586E-16 7.4191E-16 6.7789E-16 6.2298E-16 5.7658E-16
